Date,Municipality,Deaths
3/23/2020,Barrington Borough,1
3/30/2020,Gloucester Township,1
3/30/2020,Pine Hill Borough,1
3/31/2020,Camden City,1
3/31/2020,Cherry Hill Township,1
3/31/2020,Winslow Township,1
4/1/2020,Camden City,1
4/1/2020,Winslow Township,1
4/3/2020,Cherry Hill Township,1
4/3/2020,Gloucester Township,1
4/6/2020,Camden City,1
4/6/2020,Gloucester Township,2
4/6/2020,Lindenwold Borough,2
4/6/2020,Pennsauken Township,1
4/6/2020,Winslow Township,2
4/7/2020,Camden City,1
4/7/2020,Cherry Hill Township,2
4/7/2020,Gloucester City,1
4/7/2020,Gloucester Township,1
4/9/2020,Cherry Hill Township,3
4/9/2020,Clementon Borough,1
4/9/2020,Gloucester Township,1
4/9/2020,Voorhees Township,1
4/13/2020,Camden City,1
4/13/2020,Cherry Hill Township,6
4/13/2020,Voorhees Township,3
4/14/2020,Cherry Hill Township,6
4/15/2020,Cherry Hill Township,4
4/15/2020,Voorhees Township,5
4/16/2020,Cherry Hill Township,1
4/16/2020,Pennsauken Township,1
4/16/2020,Voorhees Township,2
4/18/2020,Berlin Borough,2
4/18/2020,Camden City,4
4/18/2020,Cherry Hill Township,7
4/18/2020,Gloucester Township,1
4/18/2020,Haddononfield Borough,2
4/18/2020,Voorhees Township,4
4/18/2020,Winslow Township,2
4/20/2020,Cherry Hill Township,2
4/20/2020,Voorhees Township,3
4/21/2020,Cherry Hill Township,1
4/22/2020,Bellmawr Borough,1
4/22/2020,Berlin Borough,1
4/22/2020,Camden City,2
4/22/2020,Cherry Hill Township,4
4/22/2020,Gloucester Township,1
4/22/2020,Voorhees Township,1
4/23/2020,Voorhees Township,1
4/24/2020,Cherry Hill Township,1
4/26/2020,Berlin Borough,1
4/26/2020,Camden City,2
4/26/2020,Cherry Hill Township,3
4/26/2020,Collingswood Borough,1
4/26/2020,Unknown,1
4/26/2020,Voorhees Township,10
4/26/2020,Waterford Township,1
4/26/2020,Winslow Township,1
4/27/2020,Cherry Hill Township,2
4/27/2020,Voorhees Township,3
4/28/2020,Voorhees Township,2
4/29/2020,Camden City,1
4/29/2020,Clementon Borough,1
